Customer_ID,Age,Gender,Driving_Experience,Vehicle_Type,Vehicle_Age,Region_Code,Annual_Premium,Policy_Tenure,Previous_Claims,Accidents_Reported,Claim_Amount_Last_Year,Vehicle_Damage,High_Risk
CUST000001,51.0,Male,50.0,Hatchback,11,40,329.49,6,1,0,133.2,No,0
CUST000002,55.0,Female,8.0,Hatchback,1,24,330.78,10,0,0,279.98,No,0
CUST000003,33.0,Male,14.0,Hatchback,8,43,362.75,4,1,0,464.0,Yes,0
CUST000004,18.0,Male,28.0,SUV,12,3,366.53,5,1,0,561.54,No,0
CUST000005,58.0,Female,36.0,Sedan,14,1,373.23,7,0,0,12.54,No,0
CUST000006,45.0,Female,4.0,Sedan,11,28,360.27,3,1,0,1047.42,No,0
CUST000007,,Male,,SUV,13,26,,9,1,0,,,1
CUST000008,33.0,Female,8.0,Hatchback,2,25,333.52,0,0,1,270.67,Yes,0
CUST000009,63.0,Female,36.0,Truck,13,27,525.44,8,0,1,620.97,No,0
CUST000010,49.0,Male,9.0,Truck,7,10,474.75,10,0,1,149.3,Yes,0
CUST000011,56.0,Female,24.0,SUV,6,40,410.88,5,0,0,89.14,No,0
CUST000012,18.0,Male,37.0,Truck,10,24,603.03,0,1,1,37.31,No,0
CUST000013,65.0,Female,9.0,Truck,5,32,469.34,9,0,0,111.97,Yes,0
CUST000014,26.0,Female,37.0,Sedan,9,45,356.39,4,1,1,741.31,Yes,0
CUST000015,46.0,Male,19.0,SUV,7,11,527.86,2,0,0,366.21,No,0
CUST000016,42.0,Male,41.0,SUV,7,1,415.1,2,0,1,16.9,No,0
CUST000017,28.0,Female,8.0,Sedan,9,45,547.63,3,1,0,317.97,No,0
CUST000018,59.0,Female,2.0,Sedan,7,2,463.02,2,0,0,464.76,No,0
CUST000019,28.0,Male,42.0,Hatchback,14,15,328.71,0,0,0,25.93,No,0
CUST000020,23.0,Male,10.0,SUV,0,8,443.94,2,0,1,1168.31,No,0
CUST000021,51.0,Female,3.0,Truck,12,13,235.54,4,0,1,63.1,No,0
CUST000022,67.0,Male,48.0,Truck,6,26,370.3,6,1,0,24.05,No,0
CUST000023,61.0,Male,27.0,Hatchback,10,34,553.94,8,0,0,106.81,Yes,0
CUST000024,31.0,Male,40.0,Truck,7,24,454.69,7,0,0,173.66,Yes,0
CUST000025,25.0,Male,37.0,Hatchback,13,1,217.29,1,2,1,786.79,No,0
CUST000026,42.0,Male,10.0,Truck,1,5,503.12,6,1,1,971.12,No,0
CUST000027,21.0,Male,50.0,Sedan,3,41,370.11,6,0,0,854.78,No,0
CUST000028,67.0,Male,31.0,Sedan,11,41,382.38,7,1,0,79.62,Yes,0
CUST000029,48.0,Male,17.0,SUV,11,19,378.62,6,0,1,572.64,No,0
CUST000030,38.0,Female,39.0,Truck,5,12,246.58,3,1,2,68.62,No,0
CUST000031,62.0,Male,45.0,Hatchback,3,9,417.38,1,2,1,67.71,No,0
CUST000032,49.0,Female,18.0,SUV,10,2,308.58,7,0,1,443.95,Yes,0
CUST000033,31.0,Female,15.0,Sedan,1,8,530.31,10,0,0,520.2,No,0
CUST000034,69.0,Male,2.0,SUV,12,43,341.68,8,1,0,865.57,Yes,0
CUST000035,,Female,,Hatchback,1,10,,0,0,1,,,1
CUST000036,42.0,Male,48.0,Truck,1,29,390.85,4,0,0,986.32,Yes,0
CUST000037,45.0,Female,50.0,Sedan,15,23,448.66,9,1,0,381.75,No,0
CUST000038,32.0,Female,36.0,SUV,1,27,203.33,0,0,2,426.03,No,0
